date,Hyle Alpha I,Sleeve A (standalone),Sleeve B (standalone),SPY
2025-08-27,6.552202916122054,4.221490685032581,8.527378727238396,1.595002589970648
2025-08-28,6.701664542893708,4.280188924909209,8.797362495232425,1.6006511926198177
2025-08-29,6.601220470837141,4.249320463788172,8.598697912005973,1.5911053008065916
2025-09-02,6.530516998149958,4.209502943286681,8.476047967327553,1.5793147677659662
2025-09-03,6.500499072661073,4.186035218184753,8.44449592227159,1.5878740040946213
2025-09-04,6.461216924169519,4.227494992070358,8.258977000858232,1.6011445203621038
2025-09-05,6.528495744862905,4.264622026779703,8.357877168910685,1.5965072395846192
2025-09-08,6.676046670522319,4.316053506660456,8.640542820669424,1.6004291951357896
2025-09-09,6.761238882145702,4.3067103223037195,8.877520103200428,1.6041291532029314
2025-09-10,6.843824986873409,4.338841260961585,9.028181933637283,1.608766433980416
2025-09-11,6.947006614838551,4.363716856880508,9.248487756150615,1.6221356157963551
2025-09-12,7.123765270794408,4.3565851977386,9.734069616496988,1.621592955279841
2025-09-15,7.242052893882671,4.3779909309711185,10.009218304630508,1.6302261907698388
2025-09-16,7.242080207373979,4.381344879306486,10.00374622901409,1.6279815495424395
2025-09-17,7.3017054511656365,4.359751262704681,10.218008104108318,1.6259589057990684
2025-09-18,7.438249142588771,4.390012786068771,10.528448968444945,1.6335561530302665
2025-09-19,7.612433120662001,4.393424904125633,11.014173575507371,1.637108112774723
2025-09-22,7.6578228551852545,4.417598601421102,11.08537663921017,1.6448533583286065
2025-09-23,7.6862597980262155,4.439639844525032,11.112001236545638,1.635899459806123
2025-09-24,7.449227384217359,4.385661734936395,10.565654981743318,1.63069485212501
2025-09-25,7.380597161252926,4.360300164833723,10.431511330900443,1.6231716040551545
2025-09-26,7.326314853090274,4.397255398527946,10.18924926502824,1.632470831997238
2025-09-29,7.457586984167393,4.418141974933962,10.503191222824682,1.6370587800004939
2025-09-30,7.481874488300222,4.413250500257343,10.582494760702383,1.6432253767790637
2025-10-01,7.506965224903908,4.369305286497111,10.759075603858129,1.6488246466540055
2025-10-02,7.648293608332289,4.341032043947296,11.233326541217147,1.650723958461805
2025-10-03,7.718560248637478,4.403344892753776,11.281216873814113,1.6506992920746906
2025-10-06,7.783557210419709,4.394557331204242,11.50658767555193,1.6566192249821177
2025-10-07,7.815148807511025,4.337085026015328,11.752357155341079,1.650477294590662
2025-10-08,7.914440961973454,4.3659759129282865,11.971600385821938,1.6603191830492594
2025-10-09,7.918445643091373,4.3553181875147375,12.014056919367553,1.6555092375619749
2025-10-10,7.637447879043558,4.255876705572474,11.434401574439368,1.6107644113366721
2025-10-13,8.02746650616504,4.318044584038394,12.435538615018212,1.6354801312251799
2025-10-14,7.854586023244585,4.322259816115326,11.896303000051986,1.6334821538689235
2025-10-15,7.949891685640483,4.3555846726795675,12.093177536285697,1.6407340716805217
2025-10-16,7.8225484431731,4.340429616697872,11.745724054301018,1.6295601983177532
2025-10-17,7.82457038939577,4.392559107626683,11.610778300967201,1.6388100934856082
2025-10-20,7.879080844731307,4.45569051176034,11.604411220435901,1.6558545669815752
2025-10-21,7.706276410851419,4.4418709084847405,11.133910923712321,1.655829900594461
2025-10-22,7.5150288356728066,4.452736972168259,10.55933585830616,1.6472213314915776
2025-10-23,7.747547524254545,4.499098618267826,11.100994366705553,1.6569892207888324
2025-10-24,7.930492128523736,4.536970913656233,11.533755763892344,1.6705310673145717
2025-10-27,8.012053490266199,4.59676680402749,11.696133257361955,1.690239510618881
2025-10-28,7.973874538852333,4.583432768463701,11.61949172759124,1.6947287930736799
2025-10-29,8.09980034466034,4.587334565171364,11.97767043753178,1.695542783848451
2025-10-30,8.018364168011878,4.583969678008501,11.745683241823214,1.6768949951900558
2025-10-31,8.141843643206608,4.615829635026745,12.025086663314445,1.68239559951654
2025-11-03,8.095844550348408,4.652710093886161,11.793360108156838,1.6855528970671678
2025-11-04,7.805232904150764,4.638873615837192,10.981240471795182,1.6655731235046014
2025-11-05,8.034132414425077,4.686521922365603,11.508207870882769,1.6713450580893427
2025-11-06,7.771107348145758,4.683896434574319,10.76175866979682,1.6534125946572615
2025-11-07,7.8180479999423005,4.687335409725339,10.884481576502319,1.6550405762068041
2025-11-10,7.9026533598034945,4.760569989294492,10.95110971132402,1.6808662835154546
2025-11-11,7.764782219300477,4.800831632495872,10.477535657446175,1.6847142399052821
2025-11-12,7.735766051674959,4.893178799184048,10.201633833874872,1.685651562615625
2025-11-13,7.270603493819134,4.793987053903029,9.181843992750135,1.657679879628032
2025-11-14,7.291101999133814,4.832420392084572,9.157595907896486,1.657408549369775
2025-11-17,7.16681279290959,4.747764428328371,9.005889289211916,1.6419673910362362
2025-11-18,7.185524588794941,4.721974014760278,9.102620474693275,1.6281788806393542
2025-11-19,7.2669488405902705,4.710188217624105,9.331132959718552,1.6344688093534951
2025-11-20,6.888002915349442,4.637794246564744,8.500466769730167,1.6095557583680729
2025-11-21,6.875610118244766,4.669719322917589,8.412507866768621,1.6255889099923544
2025-11-24,7.100988082970362,4.71204507271249,8.886853969224413,1.6495153054932052
2025-11-25,7.0961602438584395,4.764970961438717,8.775204396819236,1.6650304629880868
2025-11-26,7.314353663707783,4.876990035199567,9.107998337591933,1.6765249993833409
2025-11-28,7.4340913748790385,4.904953418152758,9.35394731772556,1.6856762290027385
2025-12-01,7.352672515676063,4.899395749055376,9.15969230497664,1.6779803162230833
2025-12-02,7.418483771661523,4.9830855720246845,9.166717939416772,1.6810882809994825
2025-12-03,7.528556080195931,4.982153641227619,9.440641732264085,1.6869095483584526
2025-12-04,7.832075226665622,4.98236276372368,10.201361551546558,1.6881428677141666
2025-12-05,7.67271050657381,4.8812858691880034,9.993362690409834,1.6913494980390231
2025-12-08,7.716599134132417,4.866270946132285,10.135438302344932,1.6862682222934815
2025-12-09,7.665418768922085,4.8416897777649694,10.052635729043065,1.6848129054537389
2025-12-10,7.6241074696781315,4.864406422641949,9.896534473860104,1.6959867788165075
2025-12-11,7.8114574288354195,4.875181594639706,10.36107579200658,1.6999334007547922
2025-12-12,7.499251861898339,4.853113006144124,9.587997994112072,1.6816556079031113
2025-12-15,7.415499260008106,4.901569808608354,9.280193764668418,1.6791149700303405
2025-12-16,7.331761535117344,4.806790561605569,9.249492322923265,1.6745270220270845
2025-12-17,7.104751634026759,4.740280320132043,8.802506700414094,1.6561012308527179
2025-12-18,7.264445585919837,4.795484074217953,9.095797004496262,1.6686070891196574
2025-12-19,7.524220722368463,4.851092239859005,9.639994139384875,1.6787696406107404
2025-12-22,7.6782426509391755,4.852042231080075,10.034343877364583,1.689228188747195
2025-12-23,7.767103017644896,4.943573922885807,10.073095137247401,1.6969487679139645
2025-12-24,7.793292209294447,4.961017489966202,10.105617800969226,1.7029180335956202
2025-12-26,7.670068605806705,4.970936139000058,9.760556673819174,1.7027453688858203
2025-12-29,7.602280301678027,4.927333999547507,9.675001582780796,1.6966774376557077
2025-12-30,7.572035422687538,4.950550540443445,9.55215129938423,1.6946054611381083
2025-12-31,7.5075887547961315,4.924740411841725,9.439066729618627,1.68205027009694
2026-01-02,7.735059387537165,4.97209079082409,9.92139517003744,1.6851335684862248
2026-01-05,8.111231679795026,5.0740107402848595,10.6621790072346,1.6963567746232218
2026-01-06,8.398390859656752,5.114939887867855,11.31918869830964,1.7064453269529618
2026-01-07,8.532507566184217,5.001106352567544,11.9312280610237,1.7009447226264778
2026-01-08,8.510763519781005,5.037642698489254,11.792338439098723,1.7007720579166776
2026-01-09,8.809885308472474,5.1042278443938365,12.468377161494836,1.7120199304407893
2026-01-12,8.884743428127644,5.1178467666376655,12.644855812644735,1.7147085666362454
2026-01-13,8.810201079454005,5.115698287014817,12.436007675347708,1.7112799388273605
2026-01-14,8.766687352032175,5.103854958321084,12.34488596835652,1.7028687008213914
2026-01-15,8.636029995692732,5.094348530510819,11.998450617622606,1.707505981598876
2026-01-16,8.680220920501524,5.1040880950280885,12.098091373093665,1.7060753311462478
2026-01-20,8.67992377273538,5.15100966902785,11.986103487105737,1.6713450580893425
2026-01-21,8.724842181903124,5.2925689895802845,11.78025015510478,1.6906341728127088
2026-01-22,9.010881803098247,5.328853379110415,12.477198367899728,1.699464739399621
2026-01-23,9.082061471550876,5.414984861280996,12.472278862297278,1.7000813990774777
2026-01-26,8.925219450146452,5.461659920790444,11.936619789276744,1.7087146345674753
2026-01-27,9.325671613138985,5.622249457652758,12.659634468206972,1.7155225574110167
2026-01-28,9.417011815796009,5.571589477628045,13.019527146507974,1.7153498927012165
2026-01-29,9.197654364742908,5.572364017537821,12.411022903584689,1.711945931279446
2026-01-30,8.799724876370625,5.44197283827542,11.628108103828621,1.7068399891467902
2026-02-02,8.909118993623997,5.50884729864843,11.772111446551353,1.7153252263141021
2026-02-03,9.132289286461999,5.5620656271850395,12.244515295333494,1.700821390690906
2026-02-04,8.755724654798462,5.480889893541506,11.413707479605655,1.6925828173947368
2026-02-05,8.40742177144074,5.3941014771388724,10.686446744502067,1.6714437236377993
2026-02-06,8.861965487818614,5.538851465921205,11.555792422060083,1.7035100268863625
2026-02-09,9.182893532874097,5.680017693999078,12.114173787607323,1.7117239337954178
2026-02-10,9.053560901977143,5.729662570471807,11.667702467576149,1.7072099849535045
2026-02-11,9.156001608380123,5.813682135427132,11.760053952644022,1.706815322759676
2026-02-12,8.940091785187066,5.743713034082187,11.347276628140309,1.6804469549345113
2026-02-13,9.064121932352801,5.777579502179545,11.592612313807745,1.681630941515997
2026-02-17,9.025700636689294,5.736850569683716,11.578292995898222,1.6843442440985679
2026-02-18,9.151927386603012,5.743620545249037,11.88858656207124,1.6928294812658797
2026-02-19,9.371457387967988,5.791018710024515,12.361606432423082,1.6883648651981953
2026-02-20,9.281082107155841,5.887105297631808,11.929187217616237,1.7005747268197635
2026-02-23,9.232904742290762,5.8034016327709725,11.955432368178265,1.683209590291311
2026-02-24,9.327688896566574,5.865400245902861,12.073114742369008,1.6954441182999935
2026-02-25,9.365154293656685,5.871167661376759,12.15835955097886,1.7097506228262755
2026-02-26,9.39522656468914,5.856252306697157,12.266527954027715,1.7002540637872778
2026-02-27,9.298583547548446,5.8360216057685514,12.057054873013392,1.6920894896524514
2026-03-02,9.344449503796543,5.757992210947005,12.335788547465379,1.6930514787499085
2026-03-03,8.815800107538486,5.575305223217482,11.326192086170744,1.6781283145457697
2026-03-04,9.163563544686214,5.759520912192993,11.845252376365965,1.6899681803606237
2026-03-05,8.856654253802681,5.625359903460141,11.329347061758781,1.680545620482969
2026-03-06,8.51017564389011,5.545901638839534,10.60365298759828,1.6585185367899176
2026-03-09,8.931338329382248,5.631071021067984,11.48880960823744,1.6730470388002279
2026-03-10,9.04110532873069,5.708238627706511,11.617595146639855,1.6703584026047713
2026-03-11,9.082461554390095,5.688429330592887,11.764942008009603,1.6682617597000577
2026-03-12,8.821072549162066,5.537619272594819,11.398970213421082,1.6429293801336926
2026-03-13,8.819045071410951,5.508366165647299,11.454289824870882,1.6336301521916095
2026-03-16,9.026549832142427,5.59258092855479,11.819478963271282,1.6502552971066335
2026-03-17,9.168617697460324,5.603737619458031,12.163901163191486,1.6545965812387469
2026-03-18,9.141292734666804,5.564367154638967,12.175556177603026,1.6315088428997813
2026-03-19,9.402080052046264,5.644785411783881,12.693668769833483,1.6274882218001536
2026-03-20,9.20856707126871,5.529033489917886,12.429974081072157,1.599787869070818
2026-03-23,9.31386485570068,5.642125351684585,12.458532749529825,1.616585678695642
2026-03-24,9.37416938984565,5.634430499014173,12.639009516207103,1.6111590735305004
2026-03-25,9.492464889172924,5.727463341970882,12.747813448161676,1.6201376384400983
2026-03-26,9.069937039359237,5.690032876050167,11.696508441482449,1.5912039663550486
2026-03-27,9.02540013152544,5.661758711141211,11.639110770795199,1.5640709405293411
2026-03-30,8.694112550075136,5.730211060300709,10.641453245940424,1.5588416664611138
2026-03-31,9.15255961463281,5.883625223187931,11.478915210742135,1.604153819590045
2026-04-01,9.54906773108825,5.95614832787343,12.33085252049032,1.6162403492760418
2026-04-02,9.77187597939747,6.047252565239661,12.718789132810741,1.6176956661157842
2026-04-06,9.757193120889333,6.0254425878661895,12.716746964484157,1.6253422461212104
2026-04-07,9.788379594257924,5.950017721532877,12.948237703964443,1.6260575713475245
2026-04-08,10.265124058179781,6.058842093185798,13.964723160565104,1.6674724353123995
2026-04-09,10.350920854488969,6.076092397296227,14.157818650109336,1.6770923262869684
2026-04-10,10.52235001789138,6.0994829817992215,14.571560186403099,1.675982338866826
2026-04-13,10.782872469960637,6.136738812352884,15.204227551094187,1.6923608199107074
2026-04-14,11.05447613225479,6.19914619240078,15.813996090438632,1.7129819195382452
2026-04-15,10.976272858700487,6.228847900591263,15.517455405646203,1.7264990996768703
2026-04-16,11.152737821231224,6.220404381367006,16.036662805319835,1.7307417182605263
2026-04-17,11.154026982673875,6.2151968463336695,16.0541842686016,1.751658814533435
2026-04-20,11.198174742631917,6.244725701634778,16.103951013423803,1.7481561875632075
2026-04-21,11.050599649351645,6.222538130982575,15.737856604005202,1.7367109839421817
2026-04-22,11.198984939186078,6.149516329309424,16.345324934078675,1.754298117954663
2026-04-23,11.115706291986733,6.034412048378484,16.406386746088078,1.747490195111122
2026-04-24,11.169038270887965,6.050675845049708,16.50005045050712,1.7610320416368612
2026-04-27,11.098678852089664,6.014651113627042,16.396817583505044,1.7640660072519172
2026-04-28,10.835202619626525,6.012044507997512,15.63716305663511,1.7554821045361482
2026-04-29,11.083051668417045,5.962135338134657,16.478904010668906,1.755210774277891
2026-04-30,11.508526294725057,6.116767013946482,17.31435611914565,1.7726745763548006
2026-05-01,11.62875036449561,6.084527370360803,17.766157538083945,1.7775831873905423
